settlement,url,title,description,image
Dread Tower of Dumio,https://warhammerfantasy.fandom.com/wiki/Dread_Tower_of_Dumio,Dread Tower of Dumio,Daddallo and his subject Biggolo trying to explain their plan to a Merchant Prince The Dread Tower of Dumio is one of the many leaning towers in Tilea. The tower stored the Orb of the Ancients an ancient artifact with mysterious properties. The mercenary band known as the Birdmen of Catrazza were commissioned by a trader to steal it from the dreaded tower.,https://static.wikia.nocookie.net/warhammerfb/images/2/27/Catrazza_plan.png/revision/latest?cb=20210328092418
Eremitaggio di Nahmud,https://warhammerfantasy.fandom.com/wiki/Eremitaggio_di_Nahmud,Eremitaggio di Nahmud,"The Eremitaggio di Nahmud, ""Hermitage of Nahmud"" in Tilean, is a Leorican monastery dedicated to a sub-cult of Myrmidia known as the Cult of the Dark Maiden. It was erected by Leoric Monpelitti, a misanthropic Myrmidian friar.",https://static.wikia.nocookie.net/warhammerfb/images/b/b9/Border-princes.jpg/revision/latest?cb=20140810164037
Escantos,https://warhammerfantasy.fandom.com/wiki/Escantos,Escantos,The city of Escantos in southern Tilea was completely destroyed by rats in 1601 IC.,
Firento,https://warhammerfantasy.fandom.com/wiki/Firento,Firento,Firento is a northern Tilean town located between the Gulf of Pearls and the Tettoverde Wood in the domain of the Principality of Trantio. Firento is the only Tilean town added to the Warhammer: The Old World interactive map by Games Workshop not originally created by MadAlfred.,https://static.wikia.nocookie.net/warhammerfb/images/2/22/Trantio_domains.png/revision/latest?cb=20250218101837
Molto,https://warhammerfantasy.fandom.com/wiki/Molto,Molto,"The location of the city-state of Tobaro among the Isles of the Sirens in north-western Tilea. The neighbourhoods of the Tilean city-state of Tobaro have their own sub-regions and those of the Trafuro are particularly varied. There are communities that dwell somewhat beyond the protection of Tobaro, and one of these is Molto.",https://static.wikia.nocookie.net/warhammerfb/images/8/8e/Warhammer_Tobaro.png/revision/latest?cb=20170220090421
Monastery of Blessed Cornelia,https://warhammerfantasy.fandom.com/wiki/Monastery_of_Blessed_Cornelia,Monastery of Blessed Cornelia,"The Monastery of Blessed Cornelia was a Leorican monastery dedicated to a sub-cult of Myrmidia known as the Cult of the Dark Maiden. Located in The Vaults, it was erected in honor of Nahmud the Dark Maiden and then razed by a group of mercenaries during the Great War Against Chaos.",https://static.wikia.nocookie.net/warhammerfb/images/5/52/Karak_Norn_Hirn_Izor_Vaults_region.jpg/revision/latest?cb=20151214011208
Montarrio,https://warhammerfantasy.fandom.com/wiki/Montarrio,Montarrio,,
Montorri,https://warhammerfantasy.fandom.com/wiki/Montorri,Montorri,Montorri is a small Tilean village not far from Miragliano. The thief Riano 's uncle lived here.,https://static.wikia.nocookie.net/warhammerfb/images/2/2e/Tilea1.jpg/revision/latest?cb=20170627022144
Piacanca,https://warhammerfantasy.fandom.com/wiki/Piacanca,Piacanca,"Piacanca is a Tilean settlement. The latest shop of the unscrupulous merchant Alfredo Landi Naddeo, named simply Alfredo's, has been opened recently in Piacanca Plaza. The place is like a cavern, crammed with goods.",https://static.wikia.nocookie.net/warhammerfb/images/6/69/Tilea1111111.jpg/revision/latest?cb=20131024184643
Piza,https://warhammerfantasy.fandom.com/wiki/Piza,Piza,"Piza was the site of a major battle in Tilea that was won by a mercenary general named Sandro, thanks to the military instructions of his advisor, Gossippa Lotta, she showed him how to properly use regiments of pikemen on the battlefield.",
Sileno,https://warhammerfantasy.fandom.com/wiki/Sileno,Sileno,"Sileno is a Tilean town that suffered from a failed Skaven attack later known as the Liberation of Sileno. During the battle, the mercenaries of Liotta's Legion played a vital role in defending the settlement.",https://static.wikia.nocookie.net/warhammerfb/images/2/2e/Tilea1.jpg/revision/latest?cb=20170627022144
Tramaglino,https://warhammerfantasy.fandom.com/wiki/Tramaglino,Tramaglino,"Tramaglino is a northern Tilean town not far from the city-state of Miragliano. During the alternate timeline of the Storm of Chaos, Tramaglino was destroyed by the Skaven on 17 Brumoso, 2522 IC. Some survivors of the slaughter made their way to Miragliano.",https://static.wikia.nocookie.net/warhammerfb/images/1/1e/Miragliano_2300_IC.png/revision/latest?cb=20250218124555
Villa da Vincia,https://warhammerfantasy.fandom.com/wiki/Villa_da_Vincia,Villa da Vincia,"Villa da Vincia is a Tilean hamlet placed on the edge of the Trantine Hills and the Appentine Forest, on the way to the city of Trantio. The area has suffered greatly from Beastmen raids to the point that the authorities have paid for entire mercenary armies to deal with the threat.",https://static.wikia.nocookie.net/warhammerfb/images/1/1a/Villa_da_Vincia_location.png/revision/latest?cb=20220618103202
